"Notes"	"Underlying Cause of death"	"Underlying Cause of death Code"	"State"	"State Code"	"County"	"County Code"	"Place of Death"	"Place of Death Code"	Deaths	Population	Crude Rate
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Ohio"	"39"	"Hamilton County, OH"	"39061"	"Decedent's home"	"4"	101	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Ohio"	"39"	"Hamilton County, OH"	"39061"	"Other"	"7"	36	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Ohio"	"39"	"Lake County, OH"	"39085"	"Medical Facility - Outpatient or ER"	"2"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Ohio"	"39"	"Lake County, OH"	"39085"	"Decedent's home"	"4"	20	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Ohio"	"39"	"Licking County, OH"	"39089"	"Decedent's home"	"4"	20	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Ohio"	"39"	"Lorain County, OH"	"39093"	"Decedent's home"	"4"	22	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Ohio"	"39"	"Marion County, OH"	"39101"	"Decedent's home"	"4"	23	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Ohio"	"39"	"Stark County, OH"	"39151"	"Medical Facility - Inpatient"	"1"	12	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Ohio"	"39"	"Stark County, OH"	"39151"	"Medical Facility - Outpatient or ER"	"2"	20	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Ohio"	"39"	"Stark County, OH"	"39151"	"Decedent's home"	"4"	34	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Ohio"	"39"	"Stark County, OH"	"39151"	"Other"	"7"	17	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Ohio"	"39"	"Summit County, OH"	"39153"	"Medical Facility - Inpatient"	"1"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Ohio"	"39"	"Summit County, OH"	"39153"	"Medical Facility - Outpatient or ER"	"2"	25	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Ohio"	"39"	"Summit County, OH"	"39153"	"Decedent's home"	"4"	80	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Ohio"	"39"	"Summit County, OH"	"39153"	"Other"	"7"	28	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Ohio"	"39"	"Trumbull County, OH"	"39155"	"Decedent's home"	"4"	27	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Ohio"	"39"	"Trumbull County, OH"	"39155"	"Other"	"7"	39	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Ohio"	"39"	"Wayne County, OH"	"39169"	"Medical Facility - Outpatient or ER"	"2"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Ohio"	"39"	"Wayne County, OH"	"39169"	"Decedent's home"	"4"	12	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Oregon"	"41"	"Clackamas County, OR"	"41005"	"Decedent's home"	"4"	51	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Oregon"	"41"	"Clackamas County, OR"	"41005"	"Other"	"7"	17	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Oregon"	"41"	"Columbia County, OR"	"41009"	"Decedent's home"	"4"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Oregon"	"41"	"Lane County, OR"	"41039"	"Medical Facility - Inpatient"	"1"	14	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Oregon"	"41"	"Lane County, OR"	"41039"	"Decedent's home"	"4"	57	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Oregon"	"41"	"Lane County, OR"	"41039"	"Other"	"7"	40	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Oregon"	"41"	"Linn County, OR"	"41043"	"Decedent's home"	"4"	13	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Oregon"	"41"	"Marion County, OR"	"41047"	"Decedent's home"	"4"	14	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Oregon"	"41"	"Marion County, OR"	"41047"	"Other"	"7"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Oregon"	"41"	"Multnomah County, OR"	"41051"	"Medical Facility - Inpatient"	"1"	26	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Oregon"	"41"	"Multnomah County, OR"	"41051"	"Medical Facility - Outpatient or ER"	"2"	18	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Oregon"	"41"	"Multnomah County, OR"	"41051"	"Decedent's home"	"4"	236	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Oregon"	"41"	"Multnomah County, OR"	"41051"	"Other"	"7"	96	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Oregon"	"41"	"Washington County, OR"	"41067"	"Decedent's home"	"4"	40	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Oregon"	"41"	"Washington County, OR"	"41067"	"Other"	"7"	22	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Pennsylvania"	"42"	"Bucks County, PA"	"42017"	"Other"	"7"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Pennsylvania"	"42"	"Delaware County, PA"	"42045"	"Decedent's home"	"4"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Pennsylvania"	"42"	"Philadelphia County, PA"	"42101"	"Other"	"7"	14	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Pennsylvania"	"42"	"York County, PA"	"42133"	"Decedent's home"	"4"	14	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"Medical Facility - Outpatient or ER"	"2"	13	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"Other"	"7"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Rhode Island"	"44"	"Providence County, RI"	"44007"	"Medical Facility - Inpatient"	"1"	15	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Rhode Island"	"44"	"Providence County, RI"	"44007"	"Medical Facility - Outpatient or ER"	"2"	39	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Rhode Island"	"44"	"Providence County, RI"	"44007"	"Decedent's home"	"4"	63	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Rhode Island"	"44"	"Providence County, RI"	"44007"	"Other"	"7"	12	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"South Carolina"	"45"	"Charleston County, SC"	"45019"	"Decedent's home"	"4"	14	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"South Carolina"	"45"	"Greenville County, SC"	"45045"	"Medical Facility - Inpatient"	"1"	12	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"South Carolina"	"45"	"Greenville County, SC"	"45045"	"Medical Facility - Outpatient or ER"	"2"	13	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"South Carolina"	"45"	"Greenville County, SC"	"45045"	"Decedent's home"	"4"	143	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"South Carolina"	"45"	"Greenville County, SC"	"45045"	"Other"	"7"	27	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Tennessee"	"47"	"Davidson County, TN"	"47037"	"Decedent's home"	"4"	21	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Tennessee"	"47"	"Knox County, TN"	"47093"	"Decedent's home"	"4"	19	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Tennessee"	"47"	"Shelby County, TN"	"47157"	"Medical Facility - Inpatient"	"1"	12	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Tennessee"	"47"	"Shelby County, TN"	"47157"	"Medical Facility - Outpatient or ER"	"2"	29	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Tennessee"	"47"	"Shelby County, TN"	"47157"	"Decedent's home"	"4"	85	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Tennessee"	"47"	"Shelby County, TN"	"47157"	"Other"	"7"	41	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Texas"	"48"	"Brazoria County, TX"	"48039"	"Decedent's home"	"4"	19	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Texas"	"48"	"Collin County, TX"	"48085"	"Decedent's home"	"4"	16	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Texas"	"48"	"Fort Bend County, TX"	"48157"	"Decedent's home"	"4"	14	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Texas"	"48"	"Galveston County, TX"	"48167"	"Decedent's home"	"4"	26	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Texas"	"48"	"Travis County, TX"	"48453"	"Decedent's home"	"4"	18	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Texas"	"48"	"Travis County, TX"	"48453"	"Other"	"7"	13	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Texas"	"48"	"Webb County, TX"	"48479"	"Decedent's home"	"4"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Utah"	"49"	"Davis County, UT"	"49011"	"Decedent's home"	"4"	17	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Utah"	"49"	"Salt Lake County, UT"	"49035"	"Medical Facility - Inpatient"	"1"	14	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Utah"	"49"	"Salt Lake County, UT"	"49035"	"Decedent's home"	"4"	81	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Utah"	"49"	"Salt Lake County, UT"	"49035"	"Other"	"7"	32	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Utah"	"49"	"Utah County, UT"	"49049"	"Decedent's home"	"4"	27	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Utah"	"49"	"Weber County, UT"	"49057"	"Decedent's home"	"4"	15	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Virginia"	"51"	"Chesterfield County, VA"	"51041"	"Medical Facility - Inpatient"	"1"	14	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Virginia"	"51"	"Chesterfield County, VA"	"51041"	"Medical Facility - Outpatient or ER"	"2"	16	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Virginia"	"51"	"Chesterfield County, VA"	"51041"	"Decedent's home"	"4"	69	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Virginia"	"51"	"Chesterfield County, VA"	"51041"	"Other"	"7"	24	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Virginia"	"51"	"Hanover County, VA"	"51085"	"Decedent's home"	"4"	19	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Virginia"	"51"	"Henrico County, VA"	"51087"	"Medical Facility - Inpatient"	"1"	15	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Virginia"	"51"	"Henrico County, VA"	"51087"	"Medical Facility - Outpatient or ER"	"2"	18	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Virginia"	"51"	"Henrico County, VA"	"51087"	"Decedent's home"	"4"	77	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Virginia"	"51"	"Henrico County, VA"	"51087"	"Other"	"7"	43	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Virginia"	"51"	"Spotsylvania County, VA"	"51177"	"Decedent's home"	"4"	25	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Virginia"	"51"	"Spotsylvania County, VA"	"51177"	"Other"	"7"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Virginia"	"51"	"Stafford County, VA"	"51179"	"Decedent's home"	"4"	24	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Virginia"	"51"	"Stafford County, VA"	"51179"	"Other"	"7"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Virginia"	"51"	"Chesapeake city, VA"	"51550"	"Decedent's home"	"4"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Virginia"	"51"	"Chesapeake city, VA"	"51550"	"Other"	"7"	13	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Virginia"	"51"	"Fredericksburg city, VA"	"51630"	"Decedent's home"	"4"	13	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Virginia"	"51"	"Hampton city, VA"	"51650"	"Other"	"7"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Virginia"	"51"	"Newport News city, VA"	"51700"	"Decedent's home"	"4"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Virginia"	"51"	"Newport News city, VA"	"51700"	"Other"	"7"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Virginia"	"51"	"Norfolk city, VA"	"51710"	"Decedent's home"	"4"	24	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Virginia"	"51"	"Norfolk city, VA"	"51710"	"Other"	"7"	16	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Virginia"	"51"	"Portsmouth city, VA"	"51740"	"Other"	"7"	12	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Virginia"	"51"	"Richmond city, VA"	"51760"	"Medical Facility - Inpatient"	"1"	17	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Virginia"	"51"	"Richmond city, VA"	"51760"	"Medical Facility - Outpatient or ER"	"2"	31	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Virginia"	"51"	"Richmond city, VA"	"51760"	"Decedent's home"	"4"	101	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Virginia"	"51"	"Richmond city, VA"	"51760"	"Other"	"7"	70	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Virginia"	"51"	"Roanoke city, VA"	"51770"	"Decedent's home"	"4"	13	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Virginia"	"51"	"Virginia Beach city, VA"	"51810"	"Decedent's home"	"4"	22	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Virginia"	"51"	"Virginia Beach city, VA"	"51810"	"Other"	"7"	24	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Washington"	"53"	"Clark County, WA"	"53011"	"Medical Facility - Inpatient"	"1"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Washington"	"53"	"Clark County, WA"	"53011"	"Decedent's home"	"4"	32	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Washington"	"53"	"Clark County, WA"	"53011"	"Other"	"7"	16	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Washington"	"53"	"King County, WA"	"53033"	"Other"	"7"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Washington"	"53"	"Pierce County, WA"	"53053"	"Medical Facility - Inpatient"	"1"	23	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Washington"	"53"	"Pierce County, WA"	"53053"	"Decedent's home"	"4"	88	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Washington"	"53"	"Pierce County, WA"	"53053"	"Other"	"7"	23	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Washington"	"53"	"Spokane County, WA"	"53063"	"Decedent's home"	"4"	26	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Washington"	"53"	"Whatcom County, WA"	"53073"	"Decedent's home"	"4"	21	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"West Virginia"	"54"	"Berkeley County, WV"	"54003"	"Medical Facility - Inpatient"	"1"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"West Virginia"	"54"	"Berkeley County, WV"	"54003"	"Medical Facility - Outpatient or ER"	"2"	24	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"West Virginia"	"54"	"Berkeley County, WV"	"54003"	"Decedent's home"	"4"	69	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"West Virginia"	"54"	"Berkeley County, WV"	"54003"	"Other"	"7"	28	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"West Virginia"	"54"	"Cabell County, WV"	"54011"	"Medical Facility - Inpatient"	"1"	16	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"West Virginia"	"54"	"Cabell County, WV"	"54011"	"Medical Facility - Outpatient or ER"	"2"	25	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"West Virginia"	"54"	"Cabell County, WV"	"54011"	"Decedent's home"	"4"	90	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"West Virginia"	"54"	"Cabell County, WV"	"54011"	"Other"	"7"	24	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"West Virginia"	"54"	"Hancock County, WV"	"54029"	"Decedent's home"	"4"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"West Virginia"	"54"	"Harrison County, WV"	"54033"	"Decedent's home"	"4"	19	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"West Virginia"	"54"	"Jefferson County, WV"	"54037"	"Decedent's home"	"4"	23	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"West Virginia"	"54"	"Jefferson County, WV"	"54037"	"Other"	"7"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"West Virginia"	"54"	"Kanawha County, WV"	"54039"	"Medical Facility - Inpatient"	"1"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"West Virginia"	"54"	"Kanawha County, WV"	"54039"	"Decedent's home"	"4"	43	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"West Virginia"	"54"	"Kanawha County, WV"	"54039"	"Other"	"7"	30	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"West Virginia"	"54"	"Logan County, WV"	"54045"	"Medical Facility - Outpatient or ER"	"2"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"West Virginia"	"54"	"Logan County, WV"	"54045"	"Other"	"7"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"West Virginia"	"54"	"Mercer County, WV"	"54055"	"Medical Facility - Outpatient or ER"	"2"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"West Virginia"	"54"	"Mercer County, WV"	"54055"	"Decedent's home"	"4"	23	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"West Virginia"	"54"	"Monongalia County, WV"	"54061"	"Decedent's home"	"4"	18	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"West Virginia"	"54"	"Monongalia County, WV"	"54061"	"Other"	"7"	12	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"West Virginia"	"54"	"Putnam County, WV"	"54079"	"Medical Facility - Outpatient or ER"	"2"	14	Not Applicable	Not Applicable
